"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 24 14:34:50 GMT 2023","Mon Apr 24 14:35:00 GMT 2023","10434","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Mon Apr 24 14:34:21 GMT 2023","Mon Apr 24 14:34:28 GMT 2023","6943","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Regisztráció új felhasználóval",""
"passed","Mon Apr 24 14:36:25 GMT 2023","Mon Apr 24 14:36:36 GMT 2023","10363","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Kijelentkezés",""
"passed","Mon Apr 24 14:35:03 GMT 2023","Mon Apr 24 14:35:13 GMT 2023","9443","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Új adat bevitel, új cikk",""
"passed","Mon Apr 24 14:34:38 GMT 2023","Mon Apr 24 14:34:47 GMT 2023","8446","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok listázása",""
"passed","Mon Apr 24 14:35:52 GMT 2023","Mon Apr 24 14:36:09 GMT 2023","16637","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adat törlése, cikk",""
"passed","Mon Apr 24 14:36:12 GMT 2023","Mon Apr 24 14:36:22 GMT 2023","10470","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatok lementése felületről, tag lista",""
"passed","Mon Apr 24 14:34:31 GMT 2023","Mon Apr 24 14:34:35 GMT 2023","3866","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Bejelentkezés regisztrált felhasználóval",""
"passed","Mon Apr 24 14:34:16 GMT 2023","Mon Apr 24 14:34:18 GMT 2023","2372","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Adatkezelési nyilatkozat elfogadása",""
"passed","Mon Apr 24 14:35:16 GMT 2023","Mon Apr 24 14:35:31 GMT 2023","14670","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból, kommentek",""
"passed","Mon Apr 24 14:35:34 GMT 2023","Mon Apr 24 14:35:49 GMT 2023","14940","test_conduit_vizsgaremek","test_conduit","TestConduit","","","Meglévő adat módosítás (user profil bio)",""
